"personName","rank","finalWorth","age","country","industries","selfMade","gdp_country","gross_tertiary_education_enrollment","tax_revenue_country","total_tax_rate_country","population_country","female","Self.Made.Score","Philanthropy.Score","Marital.Status","Bachelor","Master","Doctorate","Drop.Out"
"Michael Hartono",65,23100,83,"Indonesia","Manufacturing",0,1119.190780753,36.3,10.2,30.1,270.203917,0,6,1,"Married",0,0,0,0
"James Ratcliffe",67,22900,70,"United Kingdom","Manufacturing",1,2827.113184696,60,25.5,30.6,66.834405,0,6,1,"Married",0,0,0,0
"Cyrus Poonawalla",68,22600,81,"India","Healthcare",0,2611,28.1,11.2,49.7,1366.417754,0,6,1,"Widowed",1,0,1,0
"Masayoshi Son",69,22400,65,"Japan","Telecom",1,5081.76954238,63.2,11.9,46.7,126.226568,0,6,1,"Married",1,0,0,0
"Vladimir Lisin",70,22100,66,"Russia","Metals & Mining",1,1699.876578871,81.9,11.4,46.2,144.373535,0,6,1,"Married",1,0,1,0
"Emmanuel Besnier",71,22000,52,"France","Food & Beverage",0,2715.518274227,65.6,24.2,60.7,67.059887,0,6,1,"Unknown",0,0,0,0
"Abigail Johnson",72,21600,61,"United States","Finance & Investments",0,21427.7,88.2,9.6,36.6,328.239523,1,4,1,"Married",1,1,0,0
"Leonid Mikhelson & family",72,21600,67,"Russia","Energy",1,1699.876578871,81.9,11.4,46.2,144.373535,0,6,1,"Married",0,1,0,0
"Lukas Walton",74,21200,36,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0,1,1,"Married",1,0,0,0
"Wang Wei",74,21200,52,"China","Service",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Unknown",0,0,0,0
"Jensen Huang",76,21100,60,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,8,1,"Married",1,1,0,0
"Leonard Lauder",77,21000,90,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0,5,3,"Widowed, Remarried",1,0,0,0
"Takemitsu Takizaki",77,21000,77,"Japan","Manufacturing",1,5081.76954238,63.2,11.9,46.7,126.226568,0,6,1,"Married",0,0,0,0
"Alexey Mordashov & family",79,20900,57,"Russia","Metals & Mining",1,1699.876578871,81.9,11.4,46.2,144.373535,0,6,1,"Married",0,1,0,0
"Vagit Alekperov",80,20500,72,"Russia","Energy",1,1699.876578871,81.9,11.4,46.2,144.373535,0,6,1,"Married",0,1,0,0
"Thomas Frist, Jr. & family",81,20200,84,"United States","Healthcare",1,21427.7,88.2,9.6,36.6,328.239523,0,7,1,"Married",1,0,0,0
"Andrew Forrest",82,19600,61,"Australia","Metals & Mining",1,1392.680589329,113.1,23,47.4,25.766605,0,6,1,"Separated",1,0,0,0
"Ray Dalio",83,19100,73,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0,8,3,"Married",1,1,0,0
