"personName","rank","finalWorth","age","country","industries","selfMade","gdp_country","gross_tertiary_education_enrollment","tax_revenue_country","total_tax_rate_country","population_country","female","Self.Made.Score","Philanthropy.Score","Marital.Status","Bachelor","Master","Doctorate","Drop.Out"
"Jerry Jones",133,13300,80,"United States","Sports",1,21427.7,88.2,9.6,36.6,328.239523,0,8,1,"Married",1,1,0,0
"George Kaiser",133,13300,80,"United States","Energy",0,21427.7,88.2,9.6,36.6,328.239523,0,5,4,"Married",1,1,0,0
"Lu Xiangyang",136,13200,60,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",0,0,0,0
"Harry Triguboff",137,13100,90,"Australia","Real Estate",1,1392.680589329,113.1,23,47.4,25.766605,0,6,1,"Married",1,0,0,0
"Uday Kotak",138,12900,64,"India","Finance & Investments",1,2611,28.1,11.2,49.7,1366.417754,0,6,1,"Married",1,1,0,0
"Stanley Kroenke",138,12900,75,"United States","Sports",1,21427.7,88.2,9.6,36.6,328.239523,0,6,1,"Married",1,1,0,0
"Mikhail Fridman",140,12600,58,"United Kingdom","Energy",1,2827.113184696,60,25.5,30.6,66.834405,0,6,1,"Divorced",0,1,0,0
"Sarath Ratanavadi",141,12300,57,"Thailand","Energy",1,543.649976166,49.3,14.9,29.5,69.625582,0,6,1,"Married",1,1,0,0
"Dang Yanbao",142,12200,50,"China","Metals & Mining",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Unknown",0,1,0,0
"Jiang Rensheng & family",142,12200,69,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",0,0,0,0
"Shahid Khan",144,12100,72,"United States","Automotive",1,21427.7,88.2,9.6,36.6,328.239523,0,10,1,"Married",1,0,0,0
"Laurene Powell Jobs & family",145,12000,59,"United States","Technology",0,21427.7,88.2,9.6,36.6,328.239523,1,2,1,"Widowed",1,1,0,0
"Stephen Ross",147,11600,82,"United States","Real Estate",1,21427.7,88.2,9.6,36.6,328.239523,0,8,2,"Married",1,1,0,0
